state,RetiredPayTax,ExclusionAmount,ExclusionPct,Condition,SourceUrl,VerifiedOn,Notes
ME,exempt,,,,https://www.maine.gov/revenue/faq/individual-income-tax,2026-08-11,"Tier P. Effective TY2016+. Distinct from ME's separate capped non-military pension deduction."
MD,partial,,,"Under 55: $12,500/yr exclusion. 55+: $20,000/yr exclusion. ExclusionAmount left blank because the real cap depends on age tier -- see Condition.",https://veterans.maryland.gov/benefits-services/tax-exemptions/retirement-pay-and-pension-tax-deductions-and-exclusion,2026-08-11,"Tier S (Md. Tax-General Section 10-207(q); veterans.maryland.gov page updated 2026-01-16). MD's legislature has repeatedly attempted to expand this toward full exemption by TY2026 (SB346 'Keep Our Heroes Home Act', HB60, HB800) -- none confirmed enacted from a legislative-tracking source. Re-verify before shipping."
MA,exempt,,,,https://budget.digital.mass.gov/govbudget/fy26/tax-expenditure-budget/personal-income-tax/exclusions-from-gross-income/1-029,2026-08-11,"Tier P. Effective for pay received on/after 1/1/1997. An older 1992 DOR bulletin (TIR 92-3) is superseded -- don't cite it as current."
MI,exempt,,,,"Michigan Treasury RAB 2026-1 (search-cache; michigan.gov 403'd direct fetch)",2026-08-11,"Tier S. 100% subtraction on Schedule 1, no cap. Recommend human browser confirmation before treating as high-confidence."
MN,exempt,,,"Must be qualifying military retirement under 10 U.S.C. 1401-1414/1447-1455/12733; dual-status military technician pensions do NOT qualify. Must choose this OR a separate service credit, not both.",https://www.revenue.state.mn.us/military-pension-subtraction,2026-08-11,"Tier P. Full subtraction, no cap."
MS,exempt,,,,https://regulations.justia.com/states/mississippi/title-35/part-3/subpart-07/chapter-04/section-35-3-07-04-105/,2026-08-11,"Tier S (Miss. Code Ann. Section 27-7-15). 100% of all retirement income including military, no cap/age condition. DOR's own page wasn't directly fetchable -- re-verify."
MO,exempt,,,,"Mo. Rev. Stat. Section 143.121.3(12) (revisor.mo.gov blocked automated fetch; verified via search-cache)",2026-08-11,"Tier S. 100%, phased in since TY2016. Recommend human confirmation of statute text."
MT,conditional,,50,"Up to 50% of retired pay exempt, ONLY if the retiree (a) became a MT resident after 6/30/2023 (or was resident before and began/continued receiving the pay while resident), AND (b) has Montana-source earned income (exemption = lesser of 50% of retired pay or that earned income). Capped at 5 consecutive tax years per person; program sunsets TY2033. Most non-working MT retirees get nothing.",https://revenue.mt.gov/taxes/individual-income-tax/working-military-retirement-exemption,2026-08-11,"Tier P. Much narrower than a simple 50% partial exemption."
NE,exempt,,,,https://revenue.nebraska.gov/about/frequently-asked-questions/military-retirement-benefits-exclusion,2026-08-11,"Tier P. 100% 'to the extent in federal AGI', effective TY2022+, automatic (no election). Pre-2022 elective regime (Form 1040N-ML) is obsolete."
NV,no_income_tax,,,,"Nev. Const. art. 10 Section 1 (https://www.leg.state.nv.us/const/nvconst.html#Art10)",2026-08-11,"Tier S."
NH,no_income_tax,,,,https://www.revenue.nh.gov/news-and-media/repeal-nh-interest-and-dividends-tax-now-effect,2026-08-11,"Tier S."
NJ,exempt,,,"A federal civil-service (OPM) annuity based on military service credit is NOT covered -- do not conflate with DFAS retired pay.",https://www.nj.gov/treasury/taxation/military/taxinformation.shtml,2026-08-11,"Tier P. 100%, no age/income restriction."
NM,partial,30000,,,https://law.justia.com/codes/new-mexico/chapter-7/article-2/section-7-2-5-13/,2026-08-11,"Tier P/S mix (N.M. Stat. Section 7-2-5-13). Phased in $10k(2022) to $20k(2023) to $30k(2024); a 2024 amendment (eff. 1/1/2025) removed the sunset, making $30k permanent, and extended eligibility to surviving spouses."
NY,exempt,,,,https://www.tax.ny.gov/pit/file/military_page.htm,2026-08-11,"Tier P. 100%, no cap/condition, includes SBP."
NC,conditional,,,"Two independent full-exemption paths: (1) Bailey settlement -- 5+ years creditable service vested by 8/12/1989; (2) post-2021 law -- 20+ years served, OR medically retired under 10 U.S.C. Ch. 61. Retirees meeting neither (e.g. under 20 years, not Bailey-vested, not medically retired) are fully taxed.","https://www.ncdor.gov/taxes-forms/individual-income-tax/filing-topics/bailey-decision-concerning-federal-state-and-local-retirement-benefits ; https://www.ncdor.gov/taxes-forms/individual-income-tax/filing-topics/military-retirement",2026-08-11,"Tier P. Nearly all career retirees qualify under one path, but a real minority does not."
ND,exempt,,,,https://www.tax.nd.gov/sites/www/files/documents/guidelines/individual/military-service-members.pdf,2026-08-11,"Tier P. 100%, effective TY2019. ND has a general income tax -- classified exempt, not no_income_tax."
OH,exempt,,,,"https://tax.ohio.gov/individual/military (search-cache; direct fetch 404'd)",2026-08-11,"Tier S. 100%, no cap/age condition. Cross-checked against Ohio Rev. Code Section 5747.01."
OK,exempt,,,,https://oklahoma.gov/content/dam/ok/en/tax/documents/forms/individuals/current/511-Pkt.pdf,2026-08-11,"Tier P (2025 Form 511 Packet instructions). 100% exclusion of Armed Forces retirement benefits. OK's separate 'greater of $10k/75%' exclusion is for non-military government retirement -- do not conflate."
OR,conditional,,,"Prorated by service date, not age/income: 100% exempt if all service was before 10/1/1991; 0% if all service was on/after 10/1/1991; prorated by (months before 10/1/1991 / total months) if split. A separate general federal-pension subtraction (~$6,000) may apply on top; its eligibility gate is not confirmed.","oregon.gov military page (active-duty focus only); Oregon Pub. OR-17 / ORS 316.680 (search-cache)",2026-08-11,"Tier S."
PA,exempt,,,,"PA DOR public knowledge base (revenue-pa.custhelp.com); pa.gov military-pay page covers active-duty pay only",2026-08-11,"Tier S. 100%, no age/service/amount condition. Well-established long-standing rule but not confirmed via a fetched DOR bulletin -- re-verify."
RI,exempt,,,,https://tax.ri.gov/sites/g/files/xkgbur541/files/2022-08/ADV_2022_19_Pension_changes.pdf,2026-08-11,"Tier P (ADV 2022-19). Effective TY2023+. Separate $20k pension/annuity modification for non-military income cannot be double-counted with this."
SC,exempt,,,,"SC Rev. Ruling #22-11 (via https://dor.sc.gov/tax-tips/retirees-lower-your-individual-income-tax-bill-these-five-tips)",2026-08-11,"Tier S. 100%, effective TY2022+. Ruling text itself not directly fetched -- re-verify."
SD,no_income_tax,,,,https://dor.sd.gov/individuals/taxes/,2026-08-11,"Tier P."
TN,no_income_tax,,,,https://revenue.support.tn.gov/hc/en-us/articles/360057828631-HIT-3-Hall-Income-Tax-Repealed-Beginning-January-1-2021,2026-08-11,"Tier P."
TX,no_income_tax,,,,https://statutes.capitol.texas.gov/Docs/CN/htm/CN.8/CN.8.24-a.htm,2026-08-11,"Tier P (Tex. Const. Art. 8 Section 24-a)."
UT,exempt,,,"Structured as a nonrefundable credit (code AJ) equal to taxable military retired pay x the flat state rate (4.5% TY2025), functionally fully offsetting liability rather than a subtraction. Cannot also claim the separate Retirement Credit.","https://incometax.utah.gov/credits/military-retirement ; Utah Code Section 59-10-1043",2026-08-11,"Tier P. Effective TY2021 (SB 11). Prior to 2021, UT taxed retired pay as ordinary income."
VT,conditional,,,"TY2025+ rule (Act 71/S.51, signed 2025-06-25, retroactive to 1/1/2025): fully exempt if federal AGI <= $125,000; partially exempt between $125,000 and $175,000 (exempt amount = retirement/SBP income x [($175,000 - AGI)/$50,000]); not exempt at AGI >= $175,000.",https://legislature.vermont.gov/bill/status/2026/S.51,2026-08-11,"Tier S -- tax.vermont.gov blocked both fetch attempts; cross-checked against MOAA's 2025 state-tax-update article and VTDigger coverage. Before this, VT fully taxed retired pay (previously classified taxed) -- a major, very recent reversal. Re-fetch tax.vermont.gov once accessible to confirm the phase-out formula verbatim."
VA,partial,40000,,"$30,000/yr for TY2024; $40,000/yr TY2025 and later (current). Age-55 eligibility requirement was eliminated starting TY2024 -- available at any age now. TSP distributions and rolled-over CSRS/FERS civil-service benefits do NOT qualify -- military retired pay and SBP only.",https://www.tax.virginia.gov/military-benefits-faq,2026-08-11,"Tier P."
WA,no_income_tax,,,,https://dor.wa.gov/taxes-rates,2026-08-11,"Tier P. Watch item: SB 6346 (2026) imposes a 9.9% tax on household income over $1M starting TY2028; irrelevant to this audience's income level but WA will no longer be zero-income-tax by then."
WV,exempt,,,,https://code.wvlegislature.gov/11-21-12/,2026-08-11,"Tier P. 100%, no cap. Regular Armed Forces/Reserve/Guard TY2018+, all uniformed services (Coast Guard, PHS, NOAA) TY2019+."
WI,exempt,,,,https://www.revenue.wi.gov/Pages/FAQS/pcs-military.aspx,2026-08-11,"Tier P. 100%, no cap, includes RSFPP and SBP payments."
WY,no_income_tax,,,,"https://revenue.wyo.gov/ ; Wyo. Const. Art. 15 Section 18",2026-08-11,"Tier P."
