state,SsTaxTreatment,ThresholdSingle,ThresholdMarried,MinAge,AgeExemptsFully,SourceUrl,VerifiedOn,Notes
KS,not_taxed,,,,,https://www.ksrevenue.gov/faqs-taxii.html,2026-08-11,"Effective for all taxable years commencing after December 31, 2023, social security benefits are not subject to Kansas income tax. Repealed the prior $75,000 AGI threshold."
KY,not_taxed,,,,,https://taxanswers.ky.gov/Income-Taxes/Pages/Individual-Income-Tax-FAQs.aspx,2026-08-11,"SS subtracted on KY Schedule M line 10; full exemption, no threshold. (A separate $31,110/person exclusion applies to other retirement income, not SS.)"
LA,not_taxed,,,,,https://revenue.louisiana.gov/tax-education-and-faqs/faqs/individual-income-tax/is-there-a-list-of-retirement-system-benefits-that-may-be-excluded-from-louisiana-income-tax/,2026-08-11,Social Security benefits that are taxed on your federal return may be excluded from Louisiana taxable income. No threshold.
MA,not_taxed,,,,,https://www.mass.gov/info-details/massachusetts-gross-adjusted-gross-and-taxable-income,2026-08-11,Massachusetts gross income excludes Social Security benefits. mass.gov blocked direct fetch (403) on every URL tried; confirmed via search-indexed snippet plus AARP/SmartAsset/LegalClarity corroboration.
MD,not_taxed,,,,,https://www.marylandcomptroller.gov/content/dam/mdcomp/tax/legal-publications/technical-bulletins/tb-51.pdf,2026-08-11,"MD Technical Bulletin No. 51: SS/Railroad Retirement benefits fully subtractable on Form 502 line 12, no threshold."
ME,not_taxed,,,,,https://www.maine.gov/revenue/faq/individual-income-tax,2026-08-11,"Full SS subtraction on Schedule 1S, no income/age limit on the SS subtraction itself. (SS received does reduce the separate pension-income deduction cap - a different line item.)"
MI,not_taxed,,,,,https://www.michigan.gov/taxes/iit/retirement-and-pension-benefits/ssa-act-faqs,2026-08-11,SS excluded from the taxable retirement/pension calculation and is separately non-taxable (MI RAB 2026-1). michigan.gov blocked direct fetch (403); confirmed via search-indexed snippet plus secondary sources.
MN,partial,86410,110780,,,https://www.revenue.state.mn.us/sites/default/files/2025-12/inflation-adjusted-amounts-2026.pdf,2026-08-11,"MN DOR TY2026 inflation-adjusted table, simplified-method threshold: Single/HOH $86,410; MFJ/QSS $110,780 (MFS $55,390 not stored). Below threshold, 100% subtracted; above, subtraction phases out 10% per $4,000 of AGI over the threshold until it disappears. MN also offers an alternate subtraction method with a different, lower threshold that filers may use if it produces a larger benefit - not modeled here."
MO,not_taxed,,,,,https://dor.mo.gov/faq/taxation/individual/pension.html,2026-08-11,"100% exemption for SS retirement (age 62+) and SS disability (any age), effective TY2024 after the prior AGI-based limitation was repealed by 2023 legislation."
MS,not_taxed,,,,,https://www.dor.ms.gov/individual/individual-income-tax-frequently-asked-questions,2026-08-11,"Mississippi does not tax Social Security, Railroad Retirement, public welfare, VA, or workers' comp benefits."
MT,partial,,,,,https://revenuefiles.mt.gov/files/Forms/Montana-Individual-Income-Tax-Return-Form-2-Instructions/2025_Montana_Individual_Income_Tax_Return_Form_2_Instructions.pdf,2026-08-11,"Flag for review. Since TY2024, Montana starts from federal taxable income, so Social Security is taxed exactly as the IRS taxes it - there is no MT-specific SS income threshold. The only related break is a general age-65+ subtraction ($5,660 in 2025, inflation-adjusted; $11,320 if both spouses 65+) that applies to any income, not SS specifically - hence both thresholds are blank. Classified partial only because that age-based break exists; functionally this is close to taxed, the weakest fit of any state with a nonzero exemption. A 2025 repeal bill (HB148) failed."
NC,not_taxed,,,,,https://www.ncdor.gov/taxes-forms/individual-income-tax/filing-topics/social-security-and-railroad-retirement-benefits,2026-08-11,"Full deduction of any SS included in federal AGI (Form D-400 Schedule S, Part B); no income limit."
ND,not_taxed,,,,,https://www.tax.nd.gov/individual-income-tax-history,2026-08-11,"AGI-based phase-out removed effective TY2021; deduction now available regardless of AGI (pre-2021 cap was $50k single/$100k MFJ, no longer applicable)."
NE,not_taxed,,,,,https://revenue.nebraska.gov/about/2023-nebraska-legislative-changes,2026-08-11,"LB754 (2023) accelerated full exemption to TY2024+, one year earlier than the original LB873 phase-out schedule."
NH,not_taxed,,,,,https://www.revenue.nh.gov/news-and-media/repeal-nh-interest-and-dividends-tax-now-effect,2026-08-11,NH never taxed wages or retirement income. Its Interest & Dividends Tax (which never covered SS) was fully repealed effective TY2025. No individual income tax of any kind as of 2026.
NJ,not_taxed,,,,,https://www.nj.gov/treasury/taxation/njit6.shtml,2026-08-11,Social Security and Railroad Retirement benefits are not taxable under the New Jersey Income Tax. No threshold on SS itself.
NM,partial,100000,150000,,,https://www.tax.newmexico.gov/social-security-income-tax-exemption/,2026-08-11,"NM Taxation & Revenue Dept, in effect since TY2022. Hard cliff: full exemption at/below threshold; fully taxed at ordinary NM rates (1.7%-5.9%) above it. MFS threshold is $75,000 (not stored); HOH uses the $150,000 figure (stored)."
NV,not_taxed,,,,,https://www.leg.state.nv.us/const/nvconst.html,2026-08-11,No state individual income tax - Nevada Constitution Art. 10 Section 1(9); corroborated by NV Dept. of Taxation FAQ.
NY,not_taxed,,,,,https://www.tax.ny.gov/pit/file/information_for_seniors.htm,2026-08-11,NY subtracts 100% of federally taxable Social Security from state AGI; no income limit.
OH,not_taxed,,,,,https://dam.assets.ohio.gov/image/upload/tax.ohio.gov/forms/ohio_individual/individual/2025/it1040-booklet.pdf,2026-08-11,OH IT 1040/Schedule A deducts federally taxable Social Security in full; no income cap. (Ohio still taxes most other non-military retirement income.)
OK,not_taxed,,,,,https://oklahoma.gov/tax/helpcenter/income-tax.html,2026-08-11,Full subtraction of federally taxable Social Security via Schedule 511-A; no income threshold.
OR,not_taxed,,,,,https://www.oregon.gov/dor/forms/FormsPubs/publication-or-17_101-431_2025.pdf,2026-08-11,ORS 316.054 provides full subtraction of SS/Tier 1 Railroad Retirement income; no income test. PDF body text would not render directly; relying on the statute citation plus consistent secondary sourcing.
PA,not_taxed,,,,,https://www.pa.gov/agencies/revenue/forms-and-publications/pa-personal-income-tax-guide/gross-compensation,2026-08-11,PA's class-of-income PIT excludes Social Security outright - it is not one of PA's eight taxable income classes.
RI,partial,107000,133750,67,false,https://tax.ri.gov/sites/g/files/xkgbur541/files/2025-11/ADV_2025_22_Inflation_Adjustments.pdf,2026-08-18,"Must reach SSA full retirement age AND federal AGI below the cliff. TY2025 worksheet (born on or before 03/01/1959): single/HOH/MFS $107,000; MFJ/QSS $133,750. TY2026 figures not published as of 2026-08-18. The 65+ flag approximates FRA (~67); filers under 65 are taxed. Sources: RI Division of Taxation Advisory 2025-22 and 2025 Social Security worksheet."
SC,not_taxed,,,,,https://dor.sc.gov/tax-tips/retirees-lower-your-individual-income-tax-bill-these-five-tips,2026-08-11,SC Code 12-6-1120: federally taxed SS/Railroad Retirement benefits exempt from SC individual income tax; no threshold.
SD,not_taxed,,,,,https://dor.sd.gov/individuals/taxes/,2026-08-11,No state individual income tax.
TN,not_taxed,,,,,https://www.tn.gov/revenue/taxes/hall-income-tax.html,2026-08-11,"No general individual income tax on wages/retirement income. TN's only personal income tax, the Hall Income Tax (interest & dividends only, never covered wages/SS), was fully repealed effective TY2021."
TX,not_taxed,,,,,https://statutes.capitol.texas.gov/Docs/CN/htm/CN.8/CN.8.24-a.htm,2026-08-11,"No state individual income tax; constitutional ban (Art. 8 Section 24-a, adopted Nov 2019)."
UT,partial,54000,90000,,,https://files.tax.utah.gov/tax/forms/current/tc-40-fullpacket.pdf,2026-08-11,"UT TC-40 Social Security Benefits Credit (code AH): a nonrefundable credit of 4.5% of federally taxable SS that fully offsets UT tax on that income at/below threshold. Single $54,000; MFJ/HOH/QSS $90,000 (MFS $45,000 not stored). Phases out $0.025 per $1 of excess modified AGI above threshold. Cannot combine with UT's separate age-based Retirement Credit."
VA,not_taxed,,,,,https://www.tax.virginia.gov/subtractions,2026-08-11,Any SS/Tier 1 Railroad Retirement included in federal AGI is subtracted in full; no income limit.
VT,partial,55000,70000,,,https://tax.vermont.gov/individuals/income-tax-returns/social-security-exemption,2026-08-11,"Act/S.51 (signed June 2025, retroactive to all of 2025) raised the full-exemption threshold to $55,000 single / $70,000 MFJ; the exemption phases out over roughly the next $10,000 of AGI above threshold. Moderate confidence: tax.vermont.gov blocked direct fetch (403) and a legislative fiscal-office PDF hit a TLS error; figures are corroborated via a bill-citing VTDigger report rather than a directly fetched official page."
WA,not_taxed,,,,,https://dor.wa.gov/forms-publications,2026-08-11,"No individual income tax today. Flag: WA enacted a new 9.9% individual income tax on income above a $1M standard deduction (SB 6346 / Ch. 238, Laws 2026, the Millionaires' Tax), effective Jan 1, 2028 (first payments 2029). The $1M threshold means this does not affect Social Security for any realistic retiree, so not_taxed stands, but WA is no longer an unconditional no-income-tax state starting 2028 - worth a revisit before then."
WI,not_taxed,,,,,https://www.revenue.wi.gov/Pages/FAQS/pcs-retired.aspx,2026-08-11,"WI DOR: Social Security is not taxable, subtracted in full on Schedule SB; no age or income limit. Direct WebFetch failed repeatedly (network error); based on search-surfaced content from the same official domain (FAQ + Publication 126)."
WV,not_taxed,,,,,https://tax.wv.gov/Individuals/SeniorCitizens/Pages/SeniorCitizenSocialSecurityModification.aspx,2026-08-11,"Phase-out schedule: filers at/below $50k single / $100k MFJ federal AGI have been 100% exempt since TY2022; above those thresholds the modification was 35% (TY2024), 65% (TY2025), reaching 100% for TY2026 and beyond. As of TY2026 the exemption is 100% for every filer regardless of income, so no residual threshold applies going forward."
WY,not_taxed,,,,,https://sos.wyo.gov/Forms/Publications/WYConstitution.pdf,2026-08-11,"No state individual income tax - WY Constitution Art. 15 Section 18 requires full credit for sales/ad valorem taxes already paid against any income tax, making one economically unworkable; the legislature has never enacted one. PDF text extraction was imperfect; corroborated by secondary legal sources quoting the same text."
